URL,Response Code,News Error,Detected,Category
http://www.tescoentertainment.com/store/dvd/alvin-and-the-chipmunks--chipwrecked/8%3A934499,404,,3/15/12,Not found
http://www.tescoentertainment.com/store/games/-zumba-fitness-2/8%3A788773/,404,,11/11/11,Not found
http://www.tescoentertainment.com/store/browse/mp3/mp3biggestrockalbumsofthenoughties/,404,,3/19/12,Not found
http://www.tescoentertainment.com/store/browse/mp3/mp3biggestpopalbumsofthenoughties/,404,,3/19/12,Not found
http://www.tescoentertainment.com/store/cd/lionel-richie-tuskegee/8%3A934149,404,,3/13/12,Not found
http://www.tescoentertainment.com/store/games/-max-payne-3-with-tesco-exclusive-silent-killer-multiplayer-load-out-pack/8:733661/,404,,1/27/12,Not found
http://www.tescoentertainment.com/store/mp3/ipodhelpguide/,404,,3/5/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/disneybogofdvd11/,404,,3/4/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/disneybogofondvdandbluray/,404,,3/4/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/warhorse/,404,,3/5/12,Not found
http://www.tescoentertainment.com/store/dvd/the-twilight-saga--breaking-dawn--part-1--2-disc-limited-edition/8%3A792094,404,,3/1/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/comedystoredvd11/?utm_source=dvdlanding&utm_medium=rh5&utm_campaign=comedystoredvd11,404,,3/19/12,Not found
http://www.tescoentertainment.com/store/browse/filmtvdownloads/,404,,3/8/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/dealsoftheweek,404,,3/7/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/inbetweenersmovie/,404,,3/7/12,Not found
http://www.tescoentertainment.com/store/browse/tickets/,404,,3/5/12,Not found
http://www.tescoentertainment.com/store/games/microsoft-xbox-360-the-darkness-ii--limited-edition/8:787703/,404,,2/15/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tintin/,404,,3/7/12,Not found
http://www.tescoentertainment.com/store/browse/blu-ray/dealsoftheweek,404,,3/5/12,Not found
http://www.tescoentertainment.com/store/blu-ray/star-wars--the-complete-saga/8%3A733678/,404,,11/15/11,Not found
http://www.tescoentertainment.com/store/browse/dvd/riodvd/,404,,2/24/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/cars2/,404,,3/4/12,Not found
http://www.tescoentertainment.com/store/game/xbox-360-resident-evil--operation-raccoon-city/8%3A777111,404,,3/15/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/downtonabbeycomp/?utm_source=bluraylanding&utm_medium=primary&utm_campaign=downtonabbeycomp,404,,3/6/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/downtonabbeycomp/,404,,3/5/12,Not found
http://www.tescoentertainment.com/store/games/-just-dance-3/8%3A778244/,404,,12/16/11,Not found
http://www.tescoentertainment.com/store/games/-ps-vita-preorder-pack/8%3A791236,404,,2/27/12,Not found
http://www.tescoentertainment.com/store/games/game-skylanders-spyros-adventure(empire-of-ice-adventure-pack)/8%3A932730,404,,2/21/12,Not found
http://www.tescoentertainment.com/store/dvd/inception/8%3A709122/,404,,2/27/12,Not found
http://www.tescoentertainment.com/games/platforms/xbox-360/fifa-10/10042530.html,404,,1/21/12,Not found
http://www.tescoentertainment.com/store/games/psp-vita-preorder-pack/8:791236/,404,,2/26/12,Not found
http://www.tescoentertainment.com/store/cd/loick-essien-identity/8%3A776627,404,,3/10/12,Not found
http://www.tescoentertainment.com/games/platforms/ps3/fifa-10/10042533.html,404,,2/2/12,Not found
http://www.tescoentertainment.com/store/dvd/the-twilight-saga-breaking-dawn--part-1--limited-edition/8%3A792094,404,,3/4/12,Not found
http://www.tescoentertainment.com/store/artist/max-bollinger/p%3A1129962/,410,,3/14/12,Not found
http://www.tescoentertainment.com/games/inspiration/ea-sports-at-tesco.list,404,,11/5/11,Not found
http://www.tescoentertainment.com/electronics/av-cables/linx-hdmi-to-hdmi-lux-cable-8ft/9989286.html,404,,1/18/11,Not found
http://www.tescoentertainment.com/store/games/sony-playstation-3-resident-evil--operation-raccoon-city/8%3A777110,404,,3/15/12,Not found
http://www.tescoentertainment.com/store/artist/jls/p%3A1106175/,410,,3/2/12,Not found
http://www.tescoentertainment.com/store/artist/rihanna/p%3A655951/,410,,3/7/12,Not found
http://www.tescoentertainment.com/store/games/-x-factor-1-mic-pack/8%3A730097/,404,,11/10/11,Not found
http://www.tescoentertainment.com/store/game/ps3-resident-evil--operation-raccoon-city/8%3A777110,404,,3/14/12,Not found
http://www.tescoentertainment.com/tesco/9942193.product,404,,2/13/12,Not found
http://www.tescoentertainment.com/dvd/bruno/10059742.html,404,,1/22/11,Not found
http://www.tescoentertainment.com/dvd/inglourious-basterds/10064866.html,404,,1/22/11,Not found
http://www.tescoentertainment.com/store/games/microsoft-xbox-360-max-payne-3/8:733660/,404,,1/13/12,Not found
http://www.tescoentertainment.com/dvd/harry-potter-and-the-half-blood-prince/10061818.html,404,,2/10/11,Not found
http://www.tescoentertainment.com/store/games/sony-playstation-portable-dissidia-final-fantasy/8:676002/,404,,11/10/11,Not found
http://www.tescoentertainment.com/store/artist/katy-perry/p%3A958133/,410,,2/14/12,Not found
http://www.tescoentertainment.com/store/games/-x-factor-1-mic-pack/8%3A730097,404,,12/26/11,Not found
http://www.tescoentertainment.com/store/artist/michael-bubl/p%3A507930/,410,,2/2/12,Not found
